ID_Segment,ID_Waypoint_Start,Waypoint_Start_X,Waypoint_Start_Y,Waypoint_Start_Z,ID_Waypoint_End,Waypoint_End_X,Waypoint_End_Y,Waypoint_End_Z
-1,0,-27.017662048339844,66.21400451660156,0.0,1,-41.66096878051758,51.705543518066406,0.0
-2,2,-41.57395935058594,82.62542724609375,0.0,1,-41.66096878051758,51.705543518066406,0.0
-1,3,-45.07394790649414,82.6352767944336,0.0,4,-45.16095733642578,51.71539306640625,0.0
1,5,-48.66094207763672,51.72524642944336,0.0,6,-48.57393264770508,82.6451187133789,0.0
2,7,-52.16093063354492,51.7350959777832,0.0,8,-52.07392120361328,82.65496826171875,0.0
-2,9,26.40376853942871,28.25739860534668,0.0,10,57.403648376464844,28.34353256225586,0.0
-1,11,26.41349220275879,24.75741195678711,0.0,12,57.41337203979492,24.84354591369629,0.0
1,13,-88.64411163330078,12.937678337097168,0.0,14,-103.21614074707031,-2.2083921432495117,0.0
-1,15,-107.23320770263672,43.89921951293945,0.0,16,-88.67606353759766,24.437633514404297,0.0
1,17,-88.65383911132812,16.437665939331055,0.0,18,-114.23277282714844,43.821014404296875,0.0
-1,19,-103.73343658447266,43.9387092590332,0.0,20,-88.685791015625,27.937620162963867,0.0
-1,21,-107.23321533203125,43.899478912353516,0.0,22,-106.7159194946289,-2.2476232051849365,0.0
1,23,-110.21571350097656,-2.2868540287017822,0.0,24,-110.73299407958984,43.86024475097656,0.0
2,25,-113.71549224853516,-2.326085090637207,0.0,18,-114.23277282714844,43.821014404296875,0.0
1,26,85.97777557373047,69.85848999023438,0.0,27,98.80066680908203,82.89085388183594,0.0
1,28,99.00300598144531,53.221126556396484,0.0,29,85.98224639892578,66.35848999023438,0.0
1,30,-45.142799377441406,-43.327484130859375,0.0,31,-67.08174133300781,-65.19336700439453,0.0
-1,32,83.0335464477539,28.41474723815918,0.0,33,99.07856750488281,42.14179992675781,0.0
1,34,-45.142799377441406,-43.32764434814453,0.0,35,-67.0452880859375,-68.69317626953125,0.0
-2,10,57.403648376464844,28.34353256225586,0.0,32,83.0335464477539,28.41474723815918,0.0
-1,12,57.41337203979492,24.84354591369629,0.0,36,83.04327392578125,24.91476058959961,0.0
4,37,83.06549835205078,16.914791107177734,0.0,38,57.43559646606445,16.843578338623047,0.0
5,39,83.07522583007812,13.414804458618164,0.0,40,57.44532012939453,13.343591690063477,0.0
1,41,-41.64289855957031,-43.30107498168945,0.0,42,-27.800329208374023,-61.2840461730957,0.0
1,43,-27.763874053955078,-64.78385925292969,0.0,44,-48.6427001953125,-43.35388946533203,0.0
-2,45,-52.142601013183594,-43.38029861450195,0.0,46,-52.33985137939453,-17.239608764648438,0.0
-1,44,-48.6427001953125,-43.35388946533203,0.0,47,-48.83995056152344,-17.213199615478516,0.0
1,48,-45.340049743652344,-17.18679428100586,0.0,34,-45.142799377441406,-43.32764434814453,0.0
2,49,-41.84014892578125,-17.160385131835938,0.0,50,-41.64290237426758,-43.30107498168945,0.0
-2,51,-28.72602081298828,28.104219436645508,0.0,52,26.403766632080078,28.25739860534668,0.0
-1,53,-28.71629524230957,24.604232788085938,0.0,11,26.41349220275879,24.75741195678711,0.0
4,54,26.435720443725586,16.757444381713867,0.0,55,-28.694068908691406,16.604265213012695,0.0
5,56,26.445444107055664,13.257457733154297,0.0,57,-28.684343338012695,13.104277610778809,0.0
-2,58,-78.07583618164062,27.967100143432617,0.0,59,-66.83587646484375,27.99833106994629,0.0
-1,60,-78.06610870361328,24.467113494873047,0.0,61,-66.8261489868164,24.498342514038086,0.0
